id,name,description,module,created_at
0751b147-22fa-4bd2-a028-1aa55d681c22,editar_info_usuario,Editar información de usuarios,usuarios,2025-12-11 14:47:59.998241+00
07d322a2-bb5c-41e9-b4db-2732976f5b3a,ver_lecturas,Ver lecturas de consumo,lecturas,2025-12-11 14:47:59.998241+00
1a64ef81-7182-4f33-9289-f56b464d3d9d,view_contracts,Ver contratos,contratos,2025-12-12 01:06:43.424226+00
1b45773d-1084-4f5d-af42-87f9d9654668,editar_ticket,Editar información de tickets,tickets,2025-12-11 14:47:59.998241+00
1d9fa9cb-0e0c-4c8b-95a8-de56e22c61e2,view_debt,Ver deuda,deuda,2025-12-12 01:06:43.424226+00
32f2e927-d0f2-4f7a-90b4-7dc69f046a90,tomar_ticket,Tomar/asignar ticket a sí mismo,tickets,2025-12-11 14:47:59.998241+00
33c161be-b6a2-4798-a873-a1658bad6ab5,editar_agente,Editar información de agentes,agentes,2025-12-11 14:47:59.998241+00
378c249d-52f2-4b3e-99bf-9caf586feb4c,acceso_dashboard,Acceso al panel principal,dashboard,2025-12-11 14:47:59.998241+00
42717957-38b6-4d50-a797-1f5b23ce2201,ver_numero_contratos,Ver número de contratos asociados,contratos,2025-12-11 14:47:59.998241+00
43b06529-d8b9-4075-b19b-ca5980dc1cc8,generar_reportes,Generar reportes y gráficos del sistema,reportes,2025-12-11 14:47:59.998241+00
471e4fb7-b710-4550-8063-f039e088033d,access_admin_panel,Acceder al panel de administración,administracion,2025-12-12 01:06:43.424226+00
493759da-ef58-4d20-a7a3-09cb2cbf7747,eliminar_usuario,Eliminar usuarios del sistema,usuarios,2025-12-11 14:47:59.998241+00
4a25be77-99eb-4c40-bfdb-2a27cbb4df57,compartir_reportes,Compartir reportes con otros usuarios,reportes,2025-12-11 14:47:59.998241+00
66114c78-4c5e-450f-b61d-e3d7aa5be0f5,adjuntar_archivos,Adjuntar archivos a tickets,tickets,2025-12-11 14:47:59.998241+00
6ade095a-5dcb-4323-886e-0e1290798345,ver_historial_conversacion,Ver historial de conversaciones del ticket,tickets,2025-12-11 14:47:59.998241+00
7403b69f-cfe9-481b-8a5a-4f3761fc8755,crear_ticket,Crear nuevos tickets,tickets,2025-12-11 14:47:59.998241+00
75131b8f-65cd-4bf2-9628-cee693e6ba5d,view_tickets,Ver tickets,tickets,2025-12-12 01:06:43.424226+00
83767d20-7160-4b45-a9cb-cc4b1abed845,cerrar_ticket,Cerrar tickets resueltos,tickets,2025-12-11 14:47:59.998241+00
8b0fbfff-3e80-478e-91df-c2017ada8506,asignar_roles,Asignar roles a usuarios,usuarios,2025-12-11 14:47:59.998241+00
9e38b5d6-4a4f-406b-8962-55284ee3f897,view_contract_details,Ver detalles de contratos,contratos,2025-12-12 01:06:43.424226+00
a4492417-cea8-4f2e-b53a-4775f09c6ed6,view_readings,Ver lecturas,lecturas,2025-12-12 01:06:43.424226+00
a5c0d14c-3e64-403f-8884-9be7814fcf89,crear_agente,Crear nuevos agentes en el sistema,agentes,2025-12-11 14:47:59.998241+00
ab3182c0-b92b-43e4-8258-bb2f33d178a1,priorizar_ticket,Cambiar prioridad de tickets,tickets,2025-12-11 14:47:59.998241+00
b59af4c9-2dd7-4c99-a4c2-f36fc45adab3,reabrir_ticket,Reabrir tickets cerrados,tickets,2025-12-11 14:47:59.998241+00
b78d3ad9-a95c-494c-9c52-7732fe3b142c,eliminar_agente,Eliminar agentes del sistema,agentes,2025-12-11 14:47:59.998241+00
bb1f98be-2920-4356-951e-c14a993e8b21,manage_agents,Gestionar agentes IA,agentes,2025-12-12 01:06:43.424226+00
bf0721ff-94b4-4baf-98a4-0671e4159c16,view_settings,Ver configuración,configuracion,2025-12-12 01:06:43.424226+00
c6db3d6c-51e2-4b8b-95da-570902157552,crear_orden_trabajo,Crear órdenes de trabajo,ordenes,2025-12-11 14:47:59.998241+00
cf20f3a9-4f37-4724-b49d-0c5e165502d5,ver_deuda,Ver información de deuda/adeudos,facturacion,2025-12-11 14:47:59.998241+00
cfd1ab90-be71-4ebe-a30b-7cfcff47b990,manage_contracts,Gestionar contratos,contratos,2025-12-12 01:06:43.424226+00
d232d869-3d4e-4bb4-8920-6917b2ae65e3,descargar_reportes,Descargar reportes generados,reportes,2025-12-11 14:47:59.998241+00
d5b53431-4dfa-496b-8c9f-4718f87588e5,view_dashboard,Ver dashboard principal,dashboard,2025-12-12 01:06:43.424226+00
dcb4c346-b891-4d6b-8d9f-b22b12231ca1,ver_tickets,Ver tickets del sistema,tickets,2025-12-11 14:47:59.998241+00
de2897dc-acae-4499-ba40-4fb0866e8265,create_ticket,Crear tickets,tickets,2025-12-12 01:06:43.424226+00
e7c9dda1-807f-47a3-8c58-ec8f84ca034e,manage_tickets,Gestionar tickets,tickets,2025-12-12 01:06:43.424226+00
ec5abff5-e28a-488e-9fef-462a00b34848,asignar_ticket,Asignar tickets a otros usuarios,tickets,2025-12-11 14:47:59.998241+00
f1b9d0fc-6dc1-422b-bc44-c9ef506afc99,aprobar_usuario,Aprobar registro de nuevos usuarios,usuarios,2025-12-11 14:47:59.998241+00
f7309c36-7385-4d9f-9ff5-38bca469b30f,reasignar_ticket,Reasignar tickets ya asignados,tickets,2025-12-11 14:47:59.998241+00
